School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Special Music School;10;Above average;129 West 67th Street;public;K-12;313;13;New York City Geographic District # 3;/new-york/new-york/13280-Special-Music-School/
Success Academy Charter School-Harlem 4 ;10;Above average;240 West 113th Street;charter;K-4 & Ungraded;424;16;Harlem Success Academy Charter School 4;/new-york/new-york/13398-Success-Academy-Charter-School-Harlem-4-/
East Side Elementary School, PS 267;10;Above average;213 East 63rd Street;public;K-5;413;14;New York City Geographic District # 2;/new-york/new-york/13501-East-Side-Elementary-School-PS-267/
Peck Slip School (The);10;Above average;1 Peck Slip;public;PK, K-5;470;12;New York City Geographic District # 2;/new-york/new-york/14158-Peck-Slip-School-The/
Success Academy Hell's Kitchen;10;Above average;439 West 49th Street;charter;K-4;464;23;SUCCESS ACADEMY CHARTER SCHOOL-HELL'S KITCHEN;/new-york/new-york/14164-Success-Academy-Hells-Kitchen/
Manhattan Village Academy;10;Above average;43 West 22nd Street;public;9-12;452;15;New York City Geographic District # 2;/new-york/new-york/1807-Manhattan-Village-Academy/
River School (The);10;Above average;425 East 35th Street;public;PK, K-5;340;12;New York City Geographic District # 2;/new-york/new-york/18125-River-School-The/
Success Academy Charter School-Nyc 1;10;Above average;500 West 41st Street;charter;K-4;228;13;Success Academy Charter School-Hudson Yards;/new-york/new-york/18213-Success-Academy-Charter-School-Nyc-1/
Success Academy Charter-Harlem 6;10;Above average;461 West 131st Street;charter;K-4;227;13;Success Academy Charter School-Harlem 6;/new-york/new-york/18351-Success-Academy-Charter-Harlem-6/
Zeta Charter School - Inwood 1;10;Above average;652 West 187th Street;charter;PK, K-3 & Ungraded;167;N/A;Zeta Charter School - Inwood 1;/new-york/new-york/18354-Zeta-Charter-School---Inwood-1/
Ps 290 Manhattan New School;10;Above average;311 East 82nd Street;public;PK, K-5 & Ungraded;596;15;New York City Geographic District # 2;/new-york/new-york/1877-Ps-290-Manhattan-New-School/
